Herbs,Drugs,
Shankhapushpi,Phenytoin,shankhapushpi|phenytoin
Shatavari,Furosemide,shatavari|furosemide
Shatavari,Hydrochlorothiazide,shatavari|hydrochlorothiazide
Shatavari,Lithium,shatavari|lithium
Shilajit,Doxorubicin,shilajit|doxorubicin
Triphala,Phenacetin,triphala|phenacetin
Triphala,Midazolam,triphala|midazolam
Triphala,Cisplatin,triphala|cisplatin
Triphala,Gentamicin,triphala|gentamicin
Tulsi,Warfarin,tulsi|warfarin
Turmeric,Tacrolimus,turmeric|tacrolimus
Vacha,Phenelzine,vacha|phenelzine
Kutki,Cyclosporine,kutki|cyclosporine
Guggul,Pantoprazole,guggul|pantoprazole
Triphala ,Metformin,triphala|metformin
Triphala ,Glimepiride,triphala|glimepiride
Triphala ,Aspirin,triphala|aspirin
Guggul,Amlodipine,guggul|amlodipine
Chandraprabha Vati,Diclofenac,chandraprabha vati|diclofenac
Guggul,Atenolol,guggul|atenolol
Guggul,Ciprofloxacin,guggul|ciprofloxacin
Guggul,Azithromycin,guggul|azithromycin
Guggul,Fluconazole,guggul|fluconazole
Guggul,Clopidogrel,guggul|clopidogrel
Chandraprabha Vati,Clopidogrel,chandraprabha vati|clopidogrel
Guggul,Atorvastatin,guggul|atorvastatin
Guggul,Norfloxacin,guggul|norfloxacin
Guggul,Escitalopram,guggul|escitalopram
Guggul,Propranolol,guggul|propranolol
Ashwagandha,Amitriptyline,ashwagandha|amitriptyline
Guggul,Amitriptyline,guggul|amitriptyline
Guggul,Risperidone,guggul|risperidone
Chandraprabha Vati,Clopidogrel,chandraprabha vati|clopidogrel
Guggul,Atorvastatin,guggul|atorvastatin
Guggul,Norfloxacin,guggul|norfloxacin
Guggul,Escitalopram,guggul|escitalopram
Guggul,Propranolol,guggul|propranolol
Ashwagandha,Amitriptyline,ashwagandha|amitriptyline
Guggul,Amitriptyline,guggul|amitriptyline
Guggul,Risperidone,guggul|risperidone
